date,ticker,company_name,sector,industry,price_last,return_1d,return_1w,return_1m,return_3m,return_6m,return_1y,volume,market_cap_cr,pe_ttm,pb,dividend_yield_pct,roa_pct,roe_ttm,debt_equity,interest_coverage,eps_ttm,revenue_ttm,ebitda_ttm,net_income_ttm,peg_ratio,alpha_1y,beta_1y,beta_3y,sharpe_1y,sortino_1y,volatility_30d,volatility_90d,max_drawdown_1y,rsi14,sma20,sma50,sma200,macd_line,macd_signal,macd_hist,atr14,bb_upper,bb_lower,overall_score,score_fundamental,score_technical,score_risk,score_sentiment,score_macro,altman_z,piotroski_f,quality_score,momentum_score,recommendation,moat_notes,risk_notes,catalysts
2026-01-15,VEDL.NS,VEDL,,,675.75,,,,,,,,,,,,,,,,,,,,,41.957659235276964,1.4968814145202172,1.5353455127296305,1.5567014888527348,,27.978675476538573,25.290439912069928,-21.55182263017793,81.29577661466573,608.2975067138672,557.7439996337888,464.55194458007804,24.88430586939478,22.119373098796505,2.764932770598275,16.43367733550073,652.72855290611,563.8664605216243,75.36677343692115,,98.77376002565403,42.21608040201005,,,,,,,,,,
2026-01-15,HINDZINC.NS,HINDZINC,,,654.2000122070312,,,,,,,,,,,,,,,,,,,,,27.81199877872933,1.4204594814396352,1.4463130179659471,1.127248877662357,,40.738154366956024,33.643644907379375,-20.670489746478037,67.07108812740127,619.5999938964844,545.4209991455078,473.0419860839844,24.061906170648513,26.521526744432386,-2.459620573783873,21.24943568450977,654.17146153817,585.0285262547989,72.40245717346706,,96.83577969616029,33.72160804020101,,,,,,,,,,
2026-01-15,NTPC.NS,NTPC,,,349.1000061035156,,,,,,,,,,,,,,,,,,,,,-7.329493250623573,0.9774482615897669,1.022617773919357,0.5504459911942973,,20.787934221538904,16.633672524640396,-11.580328226623804,65.9707533985207,333.74999847412107,328.498002319336,333.19997070312525,5.043634493163097,4.251755951902938,0.791878541260159,6.283153292898141,357.7843849045192,309.71561204372296,67.90331315752076,,80.08063705037151,55.36331658291458,,,,,,,,,,
2026-01-15,UNIONBANK.NS,UNIONBANK,,,179.27000427246094,,,,,,,,,,,,,,,,,,,,,39.2831909251692,1.1673517776698876,1.1959843786947006,1.5967736711729008,,30.893163881718465,27.399033696745423,-16.95197893028688,79.18401816735869,157.87549896240236,154.76779907226557,139.9259644317627,4.733207562904795,2.8944836619925685,1.8387239009122265,4.574304008426494,173.4082213863887,142.34277653841596,71.49915794426164,,92.84200188761065,39.641206030150755,,,,,,,,,,
2026-01-15,TATASTEEL.NS,TATASTEEL,,,189.25,,,,,,,,,,,,,,,,,,,,,25.298532909141,1.4216158722993621,1.4505891189109097,1.3879133672789088,,24.930273091775152,21.706974439581447,-20.032698046344745,68.67850510407837,177.42200088500977,173.41500030517582,162.4348334121704,3.85016041429796,3.0783071822508274,0.7718532320471327,4.045260598268076,191.41727991269855,163.42672185732098,70.79174868784338,,88.0967054270628,48.32110552763819,,,,,,,,,,
2026-01-15,INDUSINDBK.NS,INDUSINDBK,,,944.5,,,,,,,,,,,,,,,,,,,,,-8.301980758687211,0.7679472830179297,0.7685288935498171,-0.15534094388058814,,24.597576563927966,23.49625162458574,-40.964692595136164,72.40305778497022,875.4025024414063,855.2430004882812,805.8305010986327,20.10482015697346,15.227232090811786,4.877588066161675,22.756568777407853,938.4663082747644,812.338696608048,70.42953134862938,,82.69858356321127,60.18643216080402,,,,,,,,,,
2026-01-15,PNB.NS,PNB,,,128.67999267578125,,,,,,,,,,,,,,,,,,,,,17.560547890099,1.0686337602956433,1.1054557253467177,0.9771986861854222,,22.628893558613225,23.32321545619697,-14.130428121378513,69.00182745624406,122.86249999999998,121.98459976196291,110.0223150634766,1.3434835560800025,0.9839327436150742,0.35955081246492826,2.578510805366261,127.7771327465854,117.9478672534146,65.11690439952564,,78.06992540658332,47.85125628140704,,,,,,,,,,
2026-01-15,LICHSGFIN.NS,LICHSGFIN,,,535.25,,,,,,,,,,,,,,,,,,,,,-17.5211232292183,1.3555754060250924,1.3928245338736944,-0.3450595617485024,,19.358432637352664,17.700790177785144,-17.291756559527027,49.31307917874101,533.8000000000001,544.9780029296876,572.0025628662106,-4.255913461157661,-3.9799052134353126,-0.27600824772234844,10.766049239304447,548.1490381621082,519.4509618378917,38.17131058564112,,30.17871081294799,46.324120603015075,,,,,,,,,,
2026-01-15,NATIONALUM.NS,NATIONALUM,,,373.54998779296875,,,,,,,,,,,,,,,,,,,,,52.64370052853869,1.6292957865916986,1.6645864076848818,1.7115369279520796,,40.13657167930763,34.28563822328542,-30.526704877891543,79.75681537396224,320.2499954223633,284.97241821289066,211.6696585083008,23.133861410378074,19.65579340840887,3.4780680019692056,11.614945588632317,376.6743179082803,263.82567293644627,75.37030770644782,,99.78353879622917,39.70753768844221,,,,,,,,,,
2026-01-15,BANKINDIA.NS,BANKINDIA,,,152.8699951171875,,,,,,,,,,,,,,,,,,,,,32.48571333470342,0.9803254082120968,1.0397629169373286,1.6121955905274001,,25.080517025468996,26.164463967706848,-16.494841159425178,66.24427096992834,145.08700103759764,144.57760131835937,123.82026599884033,2.0007243269977266,1.5122637962933345,0.4884605307043921,3.8088112968965344,153.60123390917047,136.57276816602482,70.81583430811297,,88.12337612646262,48.36281407035176,,,,,,,,,,
